,Image Name,Image Source
72,Good Samaritans to be rewarded for taking road accident victims to hospital  | Latest News India - Hindustan Times,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRy_Ixx1g7Ia_YaV-2a9PMEAuWi_m8Q4Tu-fg&usqp=CAU
73,India: reported road accidents by state | Statista,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRjXZEz_Y73ICuT0iQW9kYue6Ok5sgVYbhGFw&usqp=CAU
74,road accidents: Indian roads: Fatalities in mishaps high despite better  construction and use of tech - The Economic Times,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ5MQr8E0jkgm-WPQ3qj_J6H0yi4HryQjUP5g&usqp=CAU
75,A teenager dies every hour in road accidents in India: NGO | India News –  India TV,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQuUMR4bEjsgLlLCakqXMLcfn0PVrmsVabomQ&usqp=CAU
76,Why do Indians hesitate to help road accident victims? - Education Today  News,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSU_3mbVStLOUdWrn3W-o2zonox0f-EWjouZA&usqp=CAU
77,The Single Statistic That Shows Why Indian Roads Are Getting More Congested  Each Passing Month,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSL9Wusgcc2w736h_coK2FhuX32LOoDe7PSkQ&usqp=CAU
78,Road Accident Statistics in India,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTlyNcbEkhRczf58122HI1EqR9-byenMFL1iA&usqp=CAU
79,India accounts for 11 pc of global death in road accidents: World Bank  report - The Hitavada,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT-VdYEkSSzLG-3zbGbVEqGngy92F1PQySdgg&usqp=CAU
80,India suffering tremendous loss from road accidents - The Unbiased Blog,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS2laX_fkBI_kSpicWVmSS7Xjc66wCzye_bGw&usqp=CAU
81,"Indian govt to award Rs 5,000 for taking injured to the hospital after a road  accident, India News News | wionews.com",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTzMeGuk_20Gp-o_-8Ifu4ZDq1pGS_X7v6_FA&usqp=CAU
82,12 dead in India after bus swerves to avoid stray cattle | The Independent,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQfJBFEHk7eGKjK54tdCWicHHHrAdRs613gEQ&usqp=CAU
83,Haryana plans end to road crash deaths - DistilNFO Safety,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSOWBjqGex-mNE8ckRPVEltC-Mh0HzG5TnlAg&usqp=CAU
84,India determined to reduce deaths in road accidents by 25% by next year:  Gadkari,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQd2u8RBfsVfA0BpIAWBjonavNL2Dc0gbFFzg&usqp=CAU
85,Alarming findings in World Bank's report on social & financial impact of road  accidents: Nitin Gadkari - The Financial Express..,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTVSxFPloeRzNvoq39KvNAYZyxZDKJUYiP-_g&usqp=CAU
86,"Over 1,600 died in road accidents in 2018 - The Hindu",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQXG_Nx1UDro-4XvS2pUh_UdIo_d6eBeuTWBg&usqp=CAU
87,Road accidents: India - Indpaedia,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSObOIy_Ex0cm2Z-JL6R4WhCxfSj8iJFQII-w&usqp=CAU
88,Road Accident Statistics in India,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTwGE-qP1m1MDKZiLApx1gZpYy7T-4iGGlIVA&usqp=CAU
89,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRNEq3qnGDEWn8Y9GeUEqfvNQFhWyAZbtKOIxhr2yk58ILoq24S&usqp=CAU
90,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSEdpeaFlofAoK2zAkMKqUFkeIYzCsysNm81aQC_gqaGUU3Dvki&usqp=CAU
91,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRxFXyilvcEx3xCjdjs4NcbyFvF_kfdX084JbG6kuRgIp92BGpn&usqp=CAU
92,"Story in numbers: Killer roads, fatal rides cost India 5% of GDP every year  | Business Standard News",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRpru0gcxPgJH7Rlf4DRwjOwej5slFkHFKg3g&usqp=CAU
93,Countries With The Highest Number Of Road Accidents: Find Out Where India  Stands,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTi0-lCcfW1H-Gqs8fk8GWiPfzZHvickfvhDw&usqp=CAU
94,"India way behind 2020 target, road accidents still kill over a lakh a year  | India News - Times of India",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcShw6znkj1S9Sb10sIq3TlPwMNEscb9KGb9Tw&usqp=CAU
95,Road Accident Deaths in India - Advaiya,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQnLaVhGtascgZiovklrlObc36TWknP5l6sXQ&usqp=CAU
